中文,English
契合,Fit
承办,Host
做大,Go big
副总,Vice President
腦子裡,In the mind
人长,Length
性奋,Sexual excitement
格特鲁德,Gertrude
良药,Good medicine
露一手,Show off your skills
人出,people out
伊莎贝,Isabelle
塞尔吉奥,Sergio
佩佩,Pepe
聚首,Gathering
菲特,Fite
小样,mock up
凯罗,Cairo
遮挡,Occlusion
整部,Whole
對決,Showdown
欺压,Bullying
萊莉,Riley
匹敌,Rival
积聚,build up
中美洲,Central America
水在,Water in
祑,生
高歌,Sing
一响,One ring
告上,Sue
無事,Nothing happens
期末考,Final Exam
矿物质,Minerals
精于,Expertise
承包,contract
抗命,Disobedience
表达方式,Expression
傳來,Coming
地待,Land
奇袭,Surprise Attack
照管,Care
壁纸,wallpaper
多洛丝,Dolores
教务长,Provost
确,Yes
电汇,wire transfer
晚才,Late
皮特森,Peterson
先送,Send first
騎兵,Cavalry
惯坏,Spoil
这双鞋,These shoes
櫻井,Sakurai
有名气,Famous
幸虧,Fortunately
林家,Lin Family
這副,This one
汤里,Soup
满天飞,Flying all over the sky
这股,This
请不起,Please excuse me
茜茜,Sissi
春香,Chunxiang
货轮,freighter
鲁道,Ludo
换钱,Money exchange
逾越节,Passover
執照,License
叻,Rat
頸,Neck
久美,Jiumei
礟,Maintenance
惯犯,recidivist
恩达,Enda
卡劳利,Karauli
热咖啡,Hot coffee
这事会,This will
阿特金,Atkin
怜,pity
阿尔特,Alter
舰船,Ships
完全一致,completely consistent
林地,woodland
相框,Photo Frame
侣,companion
专务,Executive Director
牙套,Braces
卢旺达,Rwanda
腾,Teng
他选,He chose
焦耳,joule
奔流,Flow
优胜,winning
大条,Large
随心,Follow your heart
但別,But don't
旁遮普,Punjab
阿勒,Alle
亂來,Random
茶点,refreshments
火影,Naruto
击剑,fencing
公车站,Bus Station
文职,civilian
玛丽和,Mary and
顽童,urchin
語氣,Tone
基奥,Keogh
塔蒂,Tati
富婆,Rich Woman
文具,Stationery
仆街,Fall
拼搏,Struggle
买入,Buy it in
多万,"More than 10,000"
检阅,review
临终前,Before death
永不分离,Never separate
考卷,Exam Paper
会接,Will receive
波哥大,Bogota
若干,several
老好人,Good old man
鷹,Eagle
適當,Appropriate
谎称,Lie
多快,How fast
傷到,Injured
受辱,Humiliation
督促,urge
蒼蠅,Fly
转储,Dump
涂点,Paint
二人组,Duo
天底下,Under the Heaven
谢泼德,Shepard
人流,Flow
弗伦,Fren
正规军,regular army
一进,One
巨怪,Giant monster
布列,Breton
帕夫,Puff
怪異,Weird
別著,Don't wear
一丁点儿,A little bit
禿,Baldness
菲戈,Figo
接回来,Take it back
勞達,Lauda
前兆,precursor
月饼,moon cake
超级市场,supermarket
门缝,Door gap
加些,Add some
单手,One-handed
北军,Northern Army
之镜,Mirror
所幸,Fortunately
一泡,One Soak
想來,I want to
老生常谈,Commonplace
不重,Not heavy
射击场,Shooting Range
小白兔,Little White Rabbit
霍安,Huo An
拉高,Pull up
破伤风,tetanus
引以为豪,Proud of
飞回,Fly back
一决,Final
芅,芅
莉安,Leanne
新花样,New tricks
大卡车,Big Truck
林区,Forest area
养猫,Cats
几滴,A few drops
席根斯,Siegens
碎屑,Debris
甜瓜,melon
大哥大,Big Brother
限速,Speed ​​Limit
艮,Gen
開關,Switch
牢不可破,unbreakable
有钱赚,Make money
抚养费,Child support
卡托,Cato
葬身,Buried
工程学,engineering
泰国人,Thai
存进,Deposit
发表演说,Give a speech
不单单是,Not only
功課,Homework
联,Union
珍重,treasure
漲,Rise
华而不实,Flashy
未找到,not found
跟別,Don't
交还,Return
追忆,recall
抱头,Hold your head
不时之需,A rainy day
以後會,Later
挨骂,Being scolded
玛卡,Maca
伊藤,Ito
杜德,Dude
卡罗斯,Carlos
繩,Rope
三位一体,Trinity
四海,Four Seas
外交政策,Foreign Policy
喜悅,Joy
攬,Pick
常年,Year-round
撵,chase
电气,electric
講述,Narration
这段话,This passage
本区,This area
條路,Road
情事,Affair
服务台,desk
平复,calm
数日,several days
產常,Production
恃,rely
卖艺,Busking
鮮血,Blood
八重,Yae
纸板,cardboard
原子能,atomic energy
氯,chlorine
占星,Astrology
浅野,Asano
灌篮,Slam Dunk
一而再,Over and over again
補充,add
大增,Big increase
一談,A talk
太空服,Space suit
加強,Strengthen
鸟中,Bird
一万年,a thousand years
十二分,12 points
手續,Procedure
手续费,Fees
通力合作,Collaboration
罗茜,Rosie
空余,Spare
七十二,VII.
松惠,Song Hui
第二点,Second point
爱子,Aiko
猛犸象,Mammoth
大脚怪,Bigfoot
废弃物,Waste
次元,Dimension
小姨子,Sister-in-law
高枕无忧,sit back and relax
洁丝,Clean
长篇大论,Long story
七成,70%
演完,Finished
高貴,Noble
应战,Challenge
大眾,Public
切碎,Chopping
加梅莉亚,Camelia
观察力,Observation
緍,南
割礼,circumcision
我困,I'm sleepy
断断续续,Intermittent
窘迫,Distress
电极,electrode
讨生活,Make a living
后宫,Harem
賤貨,Scam
许多次,Many times
当之无愧,Well-deserved
先见,Foresight
达尼,Dani
還錢,Repay
股掌,Palm
姨父,uncle
钱庄,Money House
特级,Special
天子,Son of Heaven
影音,Audio and Video
哨声,Whistle
塞克斯,Sykes
屎尿,feces and urine
货品,Goods
這不會,This will not
顺利完成,Successfully completed
多留,Stay
點半,1:30
半左右,About half
壞事,Bad things
苹果酒,cider
销售额,Sales
哄哄,coax
北野,Kitano
取走,Take Away
一夫一妻制,Monogamy
小香,Xiao Xiang
百合花,lily
壘,Baseball
俘,Prisoner
不演,Not acting
之恋,Love
宝莉,Polly
滚远,Roll away
赫兹,hertz
捷,Czech
一夥,A gang
洛妮,Loni
最低工资,Minimum wage
名媛,Celebrity
讨回公道,Get justice
上課,Class
来意,Purpose
我正,I am
不具,No
道个,Dao
桒,可
勝,Victory
卡米洛,Camilo
會覺,Feel
莫希,Moshi
暂缓,Suspension
事出,Something happened
东侧,East Side
冰棍,Popsicles
強調,Emphasize
亩,mu
螺絲,Screws
钩住,hook
活过,Live
会照,Photo
牛肉干,Beef Jerky
等同,Equivalence
少得,Less
創始,Founding
小铜,Small copper
相守,Stay Together
十九世纪,19th century
呆坐,Sitting still
褂,coat
竕,畕
其母,His mother
明蒂,Minty
馆里,Museum
尼根,Negan
小慎,Xiao Shen
那顆,That
狂妄自大,Arrogance
地爱上,Fall in love
票价,fare
再装,Reinstall
花痴,anthomaniac
木下,Kinoshita
耻笑,ridicule
贝茜,Bessie
取水,Water Collection
钻孔,drilling
亚美尼亚人,Armenians
超想,Super Want
轮奸,Gang rape
区里,District
咔嚓,Snap
绳结,Knot
败给,Lost to
站成,Stand
聽器,Hearing Instruments
为乐,For fun
老虎机,Slot Machines
一周年,First Anniversary
吉隆坡,Kuala Lumpur
瘫,Paralysis
韩先生,Mr. Han
烛台,Candlestick
莫蒂,Morty
上等兵,Private
前能,Front energy
摆姿势,Strike a pose
卸掉,Unload
松口气,Breathe a sigh of relief
信纸,stationery
干妈,Godmother
你治好,You cured
唱歌跳舞,Sing and dance
乌拉圭,Uruguay
女同,Lesbian
浅色,Light
圣彼得,St. Peter
小鳥,Birdie
每週,Weekly
比西,Bisi
解职,Dismissal
肉丸子,Meatballs
舉手,Raise your hand
之初,At the Beginning
再起,Resurgence
排水沟,gutter
自食其果,Reap what you sow
新闻媒体,News Media
只字不提,No word
一上午,One morning
马斯特,Master
麦德林,Medellin
永恆,Eternity
软绵绵,soft
眼眸,Eyes
埃尔维斯,Elvis
四轮,Four wheels
那幢,That building
虹,rainbow
四川,Sichuan
大耳,Big ears
杰里科,Jericho
阿基里,Akiri
社群,Community
纽约城,New York City
綪,简
感到痛苦,Feeling pain
菏夯,He Hang
小石头,Small Stone
驱走,Drive away
共进,Progress together
旧时,Old Times
枪子儿,shot
阿菲,Affi
浅薄,shallow
出乱子,Trouble
同个,The same
国道,national highway
雷纳德,Leonard
更上一层楼,Going to the next level
赫克,Heck
愁愁,Sad
交易员,Trader
安徒生,Andersen
怠慢,Slow down
振泰,Zhentai
草根,Grassroots
严刑拷打,Torture
硖,Kip
智囊团,Think Tank
层层,Layers
木卫一,Io
奥兰,Oran
死死,Dead
新进展,New Developments
戴维森,Davidson
这楼,This building
阿里巴巴,Alibaba
木头人,Wooden Man
自由派,liberal
西特,Seater
不怀好意,No good intentions
尚有,Still
绕开,Bypass
殷勤,attentive
阿亚,Aya
交织,Interweaving
跨国公司,multinational
样片,Samples
活儿干,Work
母后,Queen Mother
百般,in every possible way
富江,Tomie
拖垮,Drag down
秀才,Scholar
烧成灰,Burn to ash
杞人忧天,Unfounded worry
古德,Goode
振作起,Cheer up
巴西人,Brazilian
海洛英,Heroin
一樁,One pile
兩份,Two
泄,vent
调转,Switch
挣点,Earn some
嚇,Frightened
玛戈,Margot
當上,When
保列,Paulie
负面影响,Negative Impact
这岛,The Island
邮轮,Cruise
落跑,Run away
所受,Received
西侧,West Side
杂,miscellaneous
利亚诺,Llano
彭德,Peng De
闲置,Idle
波拉克,Pollack
特立独行,Unique
戴好,Put it on
珊侬,Shannon
更別,Especially
述,Description
诺莉,Noli
检修,Maintenance
多點,More
凉子,Ryoko
庙会,temple fair
嫂,Sister-in-law
推特上,On Twitter
血泊,Pool of blood
现阶段,Current stage
亲娘,Mother
香水味,Perfume
车停,Parking
腮,cheek
少年犯,Juvenile offenders
毛虫,caterpillar
雄风,Magnificent
先停,Stop first
达赖喇嘛,Dalai Lama
寧靜,Tranquility
法戈,Fargo
建設,Construction
蜿蜒,Winding
萬人,Ten thousand people
通緝,Wanted
又会有,There will be
这不太,This is not
笭,笭
本森,benson
后患,future trouble
编成,Compose
基因组,Genome
麦迪森,Madison
相距,Distance
小亮,Xiaoliang
注目,Attention
诺福克,Norfolk
劳改,Labor camp
内罗,Nero
宜人,pleasant
上部,upper part
甩卖,Sale
驾崩,Death
丽尔,Lil
修理厂,Repair Shop
大丧,Great Funeral
擅自行动,Unauthorized action
夏利,Xiali
国立,national
多田,Tada
飘荡,drift
高僧,Monks
姨母,aunt
发自,From
雅致,Elegant
戏子,Actor
變形,Deformation
不俗,Good
返程,Return
下文,Below
煩死,Annoying
瓷,porcelain
葛伦,Glenn
來臨,Coming
每部,Each
榜樣,Role Model
而今,now
黑寡妇,Black Widow
谢里,Sheri
大马哈鱼,Salmon
饭钱,Meal money
遮遮掩掩,Hiding
局子,Bureau
引线,lead
弗兰茨,Franz
深表同情,Deep sympathy
還年,Still young
大英,Daying
無緣,No fate
沙哑,hoarse
哪张,Which one
惹是生非,stir up trouble
跳海,Jump into the sea
送來,Send
詭計,Trick
莴苣,lettuce
开回去,Drive back
犯事,Offending
热那亚,Genoa
大學生,College Students
敞開,Open
法拉第,Faraday
惊心动魄,Thrilling
靶心,Bullseye
不自量力,Overestimating one's capabilities
洋溢,overflowing
一条心,One Mind
少说废话,Cut the crap
瓦砾,rubble
帳戶,Account
主动权,Initiative
没敢,Didn't dare
草纸,toilet paper
截停,Stop
入座,Take a seat
小卡,Small card
魔法石,magic stone
田径,track and field
外祖父,Grandfather
胖胖,Chubby
洛夫斯基,Lovsky
无法回答,Unable to answer
這給,This gives
餘,Remaining
东亚,East Asia
抗爭,Resistance
色盲,Color blindness
守卫者,Guardian
教化,enlightenment
敲开,Knock open
岩漿,Magma
穐,穐
埋单,Pay the bill
形体,Shape
要演,To act
云霄飞车,Roller Coaster
杜夫,Duff
狗命,Dog Life
全顺,Transit
大佐,Colonel
充沛,abundant
噫,Alas
加速度,Acceleration
约见,Appointment
步步,step by step
认不,Do not recognize
盟主,Leader
偽造,Forgery
機上,On board
照相馆,Photo Gallery
高难度,High Difficulty
教材,Teaching Materials
次日,Next day
近身,Close
大不一样,Very different
色情杂志,Pornographic Magazines
轉到,Go to
剪接,Editing
一抹,A touch
脸朝下,Face down
水闸,sluice
天王星,Uranus
马粪,Horse manure
悝,laugh
开支票,Write a check
洽谈,Negotiation
占优势,Dominate
核电厂,Nuclear power plants
斯坦福大学,Stanford University
十万美元,One hundred thousand dollars
原材料,raw materials
匿名信,anonymous letter
流体,fluid
走访,Visit
奥德曼,Oldman
維護,Maintenance
丹佛斯,Danfoss
午餐会,Luncheon
達西,Darcy
入行,Enter the industry
卡通片,Cartoons
再烦,No more trouble
滩头,Beach
血肉之躯,warm bodies
克拉科夫,Krakow
米琪,Mickey
滥交,Promiscuity
發脾氣,Lose temper
吃不饱,Not full
碰壁,Hitting a wall
奇卡,Chica
一玩,One Play
就連,Even
一窝,A nest
皮夹克,Leather jacket
勞,Lao
业务员,Salesman
出戏,Play
莫须有,Groundless
單上,Single
核电,nuclear power
场外,Off-site
稳定性,stability
过载,Overload
矿上,Mine
穕,Essential
別理,Ignore
见面礼,Meeting Gift
這棟,This building
可怖,Horrible
医官,medical officer
糷,糭
控罪,Charges
俗,Common
蜂拥而至,Flock in
禁地,Forbidden Area
手榴彈,Grenade
太緊,Too tight
那球,That ball
我冲,I rush
格蕾,Grey
密尔沃基,Milwaukee
嵯,lofty
娃娃脸,Baby Face
天职,Vocation
米塔,Mita
乐声,Roxy
邏輯,Logic
第三章,Chapter 3
难得一见,Rarely seen
神侯府,Shenhou Mansion
缺水,Lack of water
没大没小,No big or small
小光,Xiaoguang
得偿,Compensation
脾,spleen
累得,Tired
九點,Nine o'clock
你造,You made
三万块,Thirty thousand yuan
刊物,publication
推想,Speculation
歌喉,Singing voice
施放,Cast
雷雨,thunderstorm
月色,Moonlight
死槍,Death Shot
瞯,禯
水瓶座,Aquarius
意淫,Sexual Fantasy
塔卡,Taka
聖人,Saint
你演,You play
乐哥,Lego
基的,Basic
阎王,Yama
畄,可
但求,But ask
阿克巴,Akbar
当是,When
干到,Do it
一在,One in
洞悉,Insight
著急,Anxious
放狗,Release the Dog
千次,Thousand times
宰杀,slaughter
怀尔德,Wilder
红葡萄酒,red wine
星团,cluster
亚麻,flax
快點兒,Hurry up
不脱,Do not take off
拜读,Read
浓缩铀,Enriched uranium
朱蒂,Judy
进出口,import and export
垂死挣扎,sucker Punch
大森,Omori
阐明,Explanation
杂技,acrobatics
塞古,Segou
第二章,Chapter 2
酒气,Smell of alcohol
数百人,Hundreds of people
情願,Willing
捐精,Sperm Donation
爆满,Full
求得,Obtain
激,Stimulate
脱节,Disconnect
谘,Consult
贷,loan
一个打,One dozen
停课,Class suspension
潦倒,Down and out
打击犯罪,Fighting crime
伊利诺,Illinois
科尔特,Corte
酒席,feast
水裡,In the water
激流,Torrent
违章,Violations
塞拉利昂,Sierra Leone
牵绊,Ties
桑顿,Sandon
佛斯,Foss
初见,First meeting
咱能,We can
限量版,Limited Edition
高高兴兴,Happy
帐目,Accounts
生者,The Living
一尘不染,Spotless
借鉴,Reference
滑水,water skiing
筆記本,Notebook
百分比,percentage
獵物,Prey
大卖,Big Sell
理想主义,Idealism
喷漆,Spray paint
預算,budget
处得,Deal with
這感覺,This feeling
压到,Press to
安康,Ankang
快照,Snapshot
卡彭特,Carpenter
换位,transposition
炖牛肉,Beef Stew
判他,Judge him
风险投资,Venture Capital
录音棚,Recording Studio
间谍活动,Espionage
奥地利人,Austrians
变色,Discoloration
随叫随到,On call
歎,Sigh
航天员,Astronaut
布兰森,Branson
送些,Send some
沒門,No way
跳台,Jumping platform
敢情,Dare
洗发精,Shampoo
过段时间,After a while
杨戈,Yang Ge
傻站,Silly Stand
针孔,Pinhole
经不起,Can't stand
收支,Income and Expenditure
顿悟,Epiphany
爵位,Title
無憂,Worry-free
哽咽,Choking
供货商,Suppliers
蘿,Radish
发色,Hair Color
允诺,promise
工友,Workers
錯什麼,What's wrong
缴纳,Payment
隱私,Privacy
事与愿违,Backfire
亮片,Sequins
氧气瓶,Oxygen cylinder
縣,County
读书人,Reader
那组,That group
晶晶,Jingjing
门后,Behind the door
娜迪雅,Nadiya
精校,Fine Proofreading
阿兹,Az
蟲,Insects
進到,Enter
克罗伊,Croy
撒拉,Sarah
底座,Base
瑪莉,Mary
小寶貝,Baby
致命伤,Fatal Injury
餐会,Dinner
伎,trick
平次,Heiji
不渴,Not thirsty
很慘,Very miserable
科学实验,Scientific Experiments
祭拜,Worship
真准,Really accurate
慧琳,Huilin
自焚,Self-immolation
小空,Xiaokong
偷猎者,Poacher
查问,Inquiry
尝点,Taste something
伯吉斯,Burgess
维苏威,Vesuvius
督德,Dude
三百元,three hundred yuan
骗徒,Fraudster
斥责,Rebuke
葛瑞,Gray
达卡,Dhaka
病毒感染,Viral infection
被炸飞,Blown away
果戈理,Gogol
验,Test
高位,High
事由,Reason
中字,Chinese subtitles
布丽,Bree
不恨,No hate
费尽,Exhausted
红皮,Red Leather
普金,Putin
避難,take refuge
白領,White Collar
米长,Meter Length
载入史册,Recorded in history
写照,Portrait
后顾之忧,Worry
会留,Will stay
无忧,Worry-free
那全,That all
震驚,Shocked
瞥见,glimpse
夜叉,Yaksha
这太扯,This is ridiculous.
艳遇,Affair
抓贼,Catch the thief
地写,Write
小五郎,Kogoro
煎锅,frying pan
左面,left
调味料,Seasoning
咸菜,pickle
前院,forecourt
武田,Takeda
没好,Not good
没品,No taste
烟幕,smokescreen
开眼界,Eye-opening
风衣,Trench coat
攜帶,Carry
登出,Sign out
穆克,Muk
互相照顾,Take care of each other
麻瓜,Muggle
彭彭,Pumba
雞尾酒,Cocktail
死缠烂打,Stalker
投怀送抱,Throw yourself into someone's arms
交上去,Submit it
造谣,Spreading rumors
新专辑,New Album
汽笛,whistle
五件,Five pieces
丽茜,Lizzie
比尼,Beanie
特战,Special Operations
塞浦路斯,Cyprus
厂房,Factory
红地毯,Red Carpet
米沙,Misha
狗娘養,Son of a bitch
玼,玼
探照灯,searchlight
驶往,Go to
东非,East Africa
漫天,Full sky
教课,Teaching
有条理,Be organized
洛莉,Lori
朱利,Juli
谢礼,Thank you gift
你会害,You will hurt
索林,Sorin
税款,Taxes
氢弹,hydrogen bomb
震颤,Tremor
太瘋狂,Too crazy
聚合,polymerization
无不,All
克里尔,Creel
要务,Important tasks
語音,Voice
虐,Abuse
精神分析,Psychoanalysis
七位,Seven
两公里,Two kilometers
小虫子,Little Bugs
内幕消息,Inside Information
露易,Louis
标枪,javelin
采食,Feeding
聪明绝顶,Extremely smart
高素,Gao Su
沒死,Not dead
憋气,Holding your breath
鏽,Rust
太公,Taigong
取自,Taken from
祖伊,Zooey
爆竹,Firecrackers
涂满,Full
异域,Exotic
驼鹿,moose
葛林,Green
洞窟,cave
金黄色,Golden
跩,swagger
沟渠,ditch
斩草除根,Eliminate the root of the problem
屑,Crumbs
不安分,Restless
民主化,Democratization
戴伦,Darren
沒有別,No other
活动家,activist
起色,improvement
若真,If true
示爱,Showing Love
春子,Haruko
用剑,With sword
喷到,Spray
重度,Severe
將近,Approaching
费里,Ferry
茁壮成长,Thrive
宫女,Maids
昏昏欲睡,sleepy
昏厥,syncope
之术,The Art
饭厅,dining room
棒球帽,Baseball cap
反坦克,Anti-tank
朝拜,worship
事务部,Affairs Department
情節,Plot
入围,Finalist
接班,Succession
没玩过,Never played
念经,Chanting
河邊,Riverside
淤泥,silt
小安,Xiao An
大受欢迎,Very popular
英特尔,Intel
勃艮第,Burgundy
火口,mouth of fire
亲朋好友,Friends and Family
牢牢地,Firmly
米雪儿,Michelle
強暴,Rape
我烦,I'm annoyed
唱过,Sung
六块,Six pieces
自宅,self-resident
塞西莉亚,Cecilia
没停,No stop
合眼,Close your eyes
别掉,Don't drop
巨猩,Giant gorilla
危机四伏,Danger lurks on every side
白鬼,White Ghost
王大人,Mr. Wang
度假胜地,Resort
虎式,Tiger
平生,Life
毫无希望,No hope
背书,endorsement
去問,Ask
爷们儿,Man
心神,mind
认字,Word recognition
不吸,No suction
陈老师,Teacher Chen
每周日,Every Sunday
报表,Reports
光之王,Lord of Light
专横,imperious
生意兴隆,Business is booming
脸色苍白,Pale face
闭一只眼,Close one eye
罪大恶极,A heinous crime
普吉,Phuket
阿弟,Brother
挥杆,Swing
杨先生,Mr. Yang
大半个,Most of
同甘共苦,share weal and woe
森美,Sammi
大戏,Big Drama
普罗维登斯,Providence
本性难移,It's hard to change one's nature
马吉德,Majid
交学费,Pay tuition fees
産,produce
企鵝,penguin
酒厂,winery
民主主义,Democracy
好慢,Very slow
健将,Athlete
艳丽,Gorgeous
證詞,Testimony
歌唱家,Singer
機票,Air Tickets
载有,Contains
金童,Golden Boy
起跑线,starting line
吹拂,Blow
祠堂,Ancestral Hall
狂风暴雨,Heavy rain
幅度,Amplitude
获奖者,Winners
本台,This station
刑场,execution ground
死过,Died
似有,Seems to be
侦探小说,Detective Fiction
征途,Journey
太怪,Too weird
退让,Give in
家臣,retainer
氣色,Complexion
真一,Shinichi
最迟,At the latest
市价,market price
邪念,Evil thoughts
用用,Use
阿莱,Alai
一樂,Ichiraku
簽個,Sign
令牌,Token
里斯特,Rist
切拉,Chela
尊姓大名,Your name
金表,Gold Watch
暴動,Riot
长跑,Long distance running
一千五百,One thousand five hundred
崔益,Cui Yi
亚法隆,Avalon
認罪,Confession
里希特,Richter
物归原主,Return the property to its original owner
込,込
完整性,Completeness
様,様
哈洛德,Harold
煩人,Annoying
软骨,Cartilage
起家,Starting out
万磅,Thousand pounds
廻,return
捐献者,Donor
哦哦哦,Oh oh oh
没定,Not sure
還小,Still young
陸,Land
飘忽不定,Uncertain
怂,coward
支那,China
几年级,What grade
小到,Small to
期末,End of term
靠窗,By the window
红衣服,Red clothes
棒球赛,Baseball Game
游动,Swimming
常数,constant
现下,Now
冰室,Ice House
抖出来,Shake it out
靶,target
加沙,Gaza
校内,On campus
偷跑,Run away
短剑,dagger
以东,Edom
翻译成,Translate to
继任,Succession
他个,He
推举,Recommend
府邸,Mansion
疾风,blast
半路上,Halfway
世贸中心,World Trade Center
粗魯,Rude
做下,Do it
這麼問,Ask this
供述,Confession
驢,Donkey
你夠,You are enough
奥特曼,Ultraman
幾分,How many minutes
八周,Eight weeks
阿德莱德,Adelaide
花梨,Rosewood
尽忠职守,Dedicated to duty
不毛之地,barren land
不知所谓,I don't know what it means
能放,Can put
翠西,Tracy
哈肯,Haken
火枪,Musket
中旬,Mid-month
印出来,Print it out
白厅,Whitehall
棕发,Brown hair
眼部,Eyes
靜,Quiet
重來,Start over
越障,Overcome obstacles
同位素,isotope
衰败,decay
上策,Best strategy
病危,Critical
畅游,Enjoy the tour
小川,Ogawa
逢场作戏,Playing a trick
規律,Rules
上主,God
亡命之徒,Desperado
名不虚传,Well-deserved reputation
保險箱,Safe
盃,Cup
你點,You order
错位,dislocation
接好,Connect
德布,Deb
擔憂,Worry
斯菲尔德,sfield
配额,quota
德尼,Denis
主动出击,Take the initiative
瘸腿,Lame
星象,Astrology
双翼,Wings
卡迪亚,Cardia
直击,Direct hit
大车,cart
捷足先登,Get there first
因人,Because of people
夹紧,Clamping
布伦,Brun
水会,Water Club
性是,Sex is
精心设计,Carefully designed
军械库,armory
咏叹调,aria
收发室,Mailroom
球探,Scouting
我怀,I am pregnant
卡什,Cash
夜深,Late Night
通敌,Collaboration
简简单单,Simple
所写,Written by
绷,stretch
球季,Season
呼吸声,Breathing sound
会待,Will wait
黑衣服,Black clothes
放暑假,Summer vacation
残局,Endgame
乔舒亚,Joshua
小蘭,Xiaolan
荣获,Won
寝宫,Sleeping Palace
武器库,Arsenal
世故,Sophisticated
貂皮,mink
字符串,String
调制,modulation
阿肯,Akon
华伦天奴,Valentino
远超过,Far more than
吊桥,suspension bridge
辣椒酱,Chili Sauce
空中小姐,stewardess
甁,Bottle
征得,Obtain
克什,Kesh
棒球棒,bat
近代,Modern times
官人,Official
搭话,get in a word
冤,injustice
自身难保,Unable to protect oneself
肉食,meat
位数,Number of digits
兴旺,thriving
代表性,Representativeness
海沃德,Hayward
苹果树,Apple Tree
问询,Inquiry
詩,Poetry
装点,Decoration
原作,original
丽子,Reiko
奥德赛,Odyssey
罗妮,Ronnie
设有,Features
加菲猫,Garfield
紫禁城,Forbidden City
計算機,Calculator
当差,Errand
報社,Newspaper
急救室,Emergency Room
失联,Lost contact
奠,Memorial
几個,Several
肯辛顿,Kensington
欧米茄,Omega
错人,Wrong person
明朝,Ming Dynasty
斋戒,Fasting
竞拍,Bidding
发出信号,Sending a signal
二猛,Er Meng
会受,Will be affected
弥莎,Misha
优厚,generous
胖小子,Fat Boy
游乐,Recreation
克罗克,Crocker
屍体,corpse
吊起,Lifting
慢动作,Slow Motion
敏珠,Minzhu
太妃糖,Toffee
胖女人,Fat woman
自由女神,Statue of Liberty
裁判官,magistrate
一舉,One move
安裝,install
這東,This
斗山,Doosan
砐,未分
觀眾們,Audience
过好,Live well
小规模,Small scale
买花,Buy flowers
驶入,Drive in
籌碼,Chips
隐退,Retreat
快没了,Almost gone
分机,Extension
人向,People
牟利,Profit
賭注,Betting
菲恩,Finn
欧利,Oli
呯,Bang
节俭,frugal
進化,evolution
市值,Market Cap
骨瘦如柴,Skinny
绘里,Eri
夜景,night view
胸毛,chest hair
五月花,Mayflower
玻璃瓶,Glass Bottle
第二道,Second
亞倫,Aaron
黯淡,dim
奸杀,Rape and murder
遞給,Delivery
那太糟,That's too bad
取回来,Get it back
雪雁,snow goose
二货,Second-hand goods
刻骨铭心,Unforgettable
常驻,permanent
能克服,Can overcome
切丽,Cherie
愛了,Love
订过,Ordered
撤诉,Withdrawal of the lawsuit
不能逃避,Can't escape
第三步,Step 3
敌手,adversary
焚毁,Burn
巨无霸,big mac
簗,痗
法务,Legal
本尊,This deity
测定,Determination
执行公务,Performing official duties
点灯,Light up
做派,Making
成功人士,Successful people
四十个,Forty
螌,Chimonanthus
浮冰,floating ice
启齿,Open your mouth
施咒,Cast a spell
胎盘,placenta
莎莎,Salsa
揸,Hold
右轉,Turn right
卡文,Kawen
圣物,Holy Relics
瑪麗亞,Maria
趕時間,Hurry up
袖扣,Cufflinks
破船,Broken Ship
杀猪,Killing Pigs
指示灯,Indicator Lights
直冲,Straight
原油,crude
健怡,Diet
那层,That layer
引導,Guidance
半瓶,Half bottle
他怕,He is afraid
落败,Lost
依恋,Attachment
斯密斯,Smith
起劲,vigorously
幼兒園,Kindergarten
跪拜,bow down
闲晃,Wandering
麻省理工学院,Massachusetts Institute of Technology
条河,River
颠,Upside
事出有因,There is a reason for everything
风纪,Discipline
化妆室,Powder Room
门下,Under the tutelage
宋先生,Mr. Song
点见,View
安全漏洞,Security Vulnerabilities
梅耶,Meyer
玩過,Played
运输车,Transporter
哨,post
斯塔斯,Stas
请代,Please
下一阶段,Next Stage
毫无道理,No reason
谈情说爱,Talk about love
立花,Tachibana
桌边,Tableside
枢木,pivot wood
树屋,Tree House
名為,Name
化为灰烬,Reduced to Ashes
虔,Pious
刀具,Knives
您老,You old
審查,Review
提着,Carry
快進,Fast forward
中川,Nakagawa
优先权,priority
理顺,Smoothing
说不过去,It's unacceptable
适者生存,Survival of the Fittest
间隙,gap
沉痛,bitter
值得注意,Noteworthy
穷追不舍,Relentless pursuit
火器,firearm
情意,affection
智妍,Jiyeon
适时,Timely
理科,science
幻听,Auditory Hallucinations
演了,Acted
這又是,This is
个人信息,personal information
不急,No rush
發抖,Shivering
優點,advantage
强权,power
抽动,twitch
血洗,Bloodbath
古力,Coulee
三架,Three
多虑,Worry
投票表决,Voting
挨个,One by one
带狗,Bring your dog
白纸,White paper
诸事,Everything
别是,Don't
福星,Lucky Star
共同努力,Working together
静谧,Tranquility
十萬,"100,000"
东风,Dongfeng
傖,In
首屈一指,Second to none
求婚者,Suitor
近海,Offshore
汉妮,Hanny
愛死,Love it
打头阵,Leading the charge
塞尔达,Zelda
吃水果,Eat fruit
缝好,Sew well
先坐,Sit first
利科,Licoeur
叛党,Rebellion
鏈,Chain
萝伦,Lauren
低調,Low profile
跟上去,Follow
乌鲁克,Uruk
富家女,Rich Girl
防晒油,Sunscreen
泰晤士报,The Times
定好,Determined
